"","from_city","to_city"
"1814","Katowice","Pardubice"
"1815","Lugano","Bologna"
"1816","Linz","Duesseldorf"
"1817","Linz","Amsterdam"
"1818","Mannheim","Friedrichshafen"
"1819","Munich","Innsbruck"
"1820","Klagenfurt","Verona"
"1821","Doncaster","Plymouth"
"1822","Cologne","Friedrichshafen"
"1823","Klagenfurt","Mannheim"
"1824","Nuremberg","Bremen"
"1825","Memmingen","Mannheim"
"1826","Duesseldorf","Salzburg"
"1827","Exeter","Manchester"
"1828","Lugano","Verona"
"1829","Nantes","Chambery-Savoie"
"1830","Bremen","Rostock"
"1831","Cologne","Salzburg"
"1832","Plovdiv","Burgas"
"1833","Frankfurt","Paderborn"
"1834","Memmingen","Dortmund"
"1835","Innsbruck","Hannover"
"1836","Pardubice","Poprad"
"1837","Salzburg","Cologne"
"1838","Friedrichshafen","Dortmund"
"1839","Plymouth","Newquay"
"1840","Friedrichshafen","Frankfurt"
"1841","Newquay","Plymouth"
"1842","Memmingen","Stuttgart"
"1843","Cologne","Linz"
"1844","Pardubice","Kosice"
"1845","Nantes","Lille"
"1846","Exeter","Edinburgh"
"1847","Alicante","Valladolid"
"1848","Newcastle","Exeter"
"1849","Glasgow","Newcastle"
"1850","Saarbruecken","Augsburg"
"1851","Salzburg","Dortmund"
"1852","Hannover","Innsbruck"
"1853","Montpellier","Nantes"
"1854","Verona","Geneva"
"1855","Doncaster","Inverness"
"1856","Bratislava","Linz"
"1857","Plymouth","Doncaster"
"1858","Manchester","Exeter"
"1859","Doncaster","Birmingham"
"1860","Poprad","Kosice"
"1861","Wroclaw","Poznan"
"1862","Malmo","Ronneby"
"1863","Luxembourg","Metz"
"1864","Prague","Split"
"1865","Malmo","Gothenburg"
"1866","Malmo","Vaxjo"
"1867","Basel","Rostock"
"1868","Split","Brno"
"1869","Poznan","Wroclaw"
"1870","Ronneby","Malmo"
"1871","Luxembourg","Cologne"
"1872","Vaxjo","Malmo"
"1873","Luxembourg","Duesseldorf"
"1874","Bordeaux","Chambery-Savoie"
"1875","Split","Prague"
"1876","Budapest","Split"
"1877","Brno","Split"
"1878","Exeter","Southampton"
"1879","Westerland","Munich"
"1880","Split","Budapest"
"1881","Mannheim","Rostock"
"1882","Southampton","Exeter"
"1883","Rostock","Mannheim"
"1884","Liverpool","Glasgow"
"1885","Kortrijk","Liege"
"1886","Edinburgh","Liverpool"
"1887","Westerland","Augsburg"
"1888","Dortmund","Rostock"
"1889","Liege","Kortrijk"
"1890","Glasgow","Liverpool"
