"","from_city","to_city"
"284","Rome","Salzburg"
"285","Salzburg","Malmo"
"286","Cherbourg","Paris"
"287","Paris","Luxembourg"
"288","Bristol","Exeter"
"289","London","Exeter"
"290","Berlin","Dortmund"
"291","Dortmund","Brussels"
"292","Sofia","Istanbul"
"293","Bologna","Verona"
"294","Toulouse","Bordeaux"
"295","Toulouse","Paris"
"296","Paris","Duesseldorf"
"297","Duesseldorf","Hamburg"
"298","Gothenburg","Oslo"
"299","Toulouse","Lyon"
"300","Zweibruecken","Saarbruecken"
"301","Mannheim","Basel"
"302","Copenhagen","Malmo"
"303","Amsterdam","Rotterdam"
"304","Eindhoven","Rotterdam"
"305","Chambery-Savoie","Rotterdam"
"306","Bremen","Hannover"
"307","Budapest","Salzburg"
"308","Budapest","Ljubljana"
"309","Strasbourg","Paris"
"310","Zagreb","Stuttgart"
"311","Stuttgart","Paris"
"312","Tampere","Helsinki"
"313","London","Norwich"
"314","Basel","Strasbourg"
"315","Frankfurt","Mannheim"
"316","Mannheim","Strasbourg"
"317","Luxembourg","Strasbourg"
"318","Hannover","Hamburg"
"319","Hannover","Berlin"
"320","Brussels","Vienna"
"321","Vienna","Split"
"322","Southampton","Bournemouth"
"323","Almeria","Madrid"
"324","Bournemouth","London"
"325","Rotterdam","Groningen"
"326","Amsterdam","Groningen"
"327","Hamburg","Bremen"
"328","Amsterdam","Eindhoven"
"329","Lille","Brussels"
"330","Marseille","Rotterdam"
"331","Rotterdam","Eindhoven"
"332","Nice","Paris"
"333","Paris","Antwerp"
"334","Augsburg","Munich"
"335","Barcelona","Zaragoza"
"336","Augsburg","Paris"
"337","Dortmund","Duesseldorf"
"338","Munich","Duesseldorf"
"339","Katowice","Gdansk"
"340","Warsaw","Gdansk"
"341","Ljubljana","Innsbruck"
"342","Wroclaw","Vienna"
"343","Wroclaw","Budapest"
"344","Kosice","Bratislava"
"345","Vienna","Frankfurt"
"346","Frankfurt","Amsterdam"
"347","Vienna","Amsterdam"
"348","London","Newquay"
"349","Birmingham","Plymouth"
"350","Bristol","Newquay"
"351","Linz","Salzburg"
"352","Linz","Munich"
"353","Linz","Graz"
"354","Bern","Basel"
"355","Basel","Mannheim"
"356","Girona","Barcelona"
"357","Girona","Paris"
"358","Girona","Montpellier"
"359","Zurich","Vienna"
"360","Trieste","Turin"
"361","Stuttgart","Mannheim"
"362","Hamburg","Hannover"
"363","Hamburg","Mannheim"
"364","Frankfurt","Hamburg"
"365","Bremen","Berlin"
"366","Wroclaw","Ostrava"
"367","Dublin","Cork"
"368","Umea","Stockholm"
"369","Umea","Gothenburg"
"370","Ljubljana","Vienna"
"371","London","Doncaster"
"372","Lille","London"
"373","Girona","Madrid"
"374","Bologna","Rimini"
"375","Ancona","Rimini"
"376","Milan","Rimini"
"377","Hamburg","Frankfurt"
"378","Aberdeen","Inverness"
"379","Edinburgh","Inverness"
"380","Glasgow","Inverness"
"381","Newcastle","Inverness"
"382","Leeds","Doncaster"
"383","Leeds","London"
"384","Brussels","Cologne"
"385","Cologne","Hamburg"
"386","Ljubljana","Stuttgart"
"387","Bournemouth","Southampton"
"388","Prague","Bratislava"
"389","Basel","Hamburg"
"390","Verona","Hamburg"
