from_city,to_city,url,price
Edinburgh,Glasgow,https://www.thetrainline.com/en/train-times/edinburgh-to-glasgow,from €7.22
Westerland,Hamburg,https://www.thetrainline.com/en/train-times/westerland-to-hamburg,NA
Copenhagen,Stockholm,https://www.thetrainline.com/en/train-times/copenhagen-to-stockholm,NA
Hamburg,Stockholm,https://www.thetrainline.com/en/train-times/hamburg-to-stockholm,NA
Florence,Bologna,https://www.thetrainline.com/en/train-times/florence-to-bologna,from €7.90
Florence,Rome,https://www.thetrainline.com/en/train-times/florence-to-rome,from €8.90
Florence,Pisa,https://www.thetrainline.com/en/train-times/florence-to-pisa,from €7.90
Florence,Venice,https://www.thetrainline.com/en/train-times/florence-to-venice,from €8.90
Florence,Milan,https://www.thetrainline.com/en/train-times/florence-to-milan,from €8.90
London,Birmingham,https://www.thetrainline.com/en/train-times/london-to-birmingham,from €7.83
Manchester,Birmingham,https://www.thetrainline.com/en/train-times/manchester-to-birmingham,from €21.55
Zurich,Basel,https://www.thetrainline.com/en/train-times/zurich-to-basel,from €8.77
Palermo,Rome,https://www.thetrainline.com/en/train-times/palermo-to-rome,from €16.90
Rome,Bologna,https://www.thetrainline.com/en/train-times/rome-to-bologna,from €9.90
Innsbruck,Dortmund,https://www.thetrainline.com/en/train-times/innsbruck-to-dortmund,NA
Bergen,Oslo,https://www.thetrainline.com/en/train-times/bergen-to-oslo,NA
Brno,Bratislava,https://www.thetrainline.com/en/train-times/brno-to-bratislava,NA
Plymouth,Bristol,https://www.thetrainline.com/en/train-times/plymouth-to-bristol,NA
Plymouth,Birmingham,https://www.thetrainline.com/en/train-times/plymouth-to-birmingham,from €70.39
Plymouth,London,https://www.thetrainline.com/en/train-times/plymouth-to-london,from €46.52
London,Lille,https://www.thetrainline.com/en/train-times/london-to-lille,from €58
Bilbao,Barcelona,https://www.thetrainline.com/en/train-times/bilbao-to-barcelona,from €17.45
Frankfurt,Duesseldorf,https://www.thetrainline.com/en/train-times/frankfurt-to-duesseldorf,NA
Cologne,Duesseldorf,https://www.thetrainline.com/en/train-times/cologne-to-duesseldorf,NA
Ancona,Rome,https://www.thetrainline.com/en/train-times/ancona-to-rome,from €9.90
Ancona,Bologna,https://www.thetrainline.com/en/train-times/ancona-to-bologna,from €9.90
Kosice,Poprad,https://www.thetrainline.com/en/train-times/kosice-to-poprad,NA
Bratislava,Poprad,https://www.thetrainline.com/en/train-times/bratislava-to-poprad,NA
Ostrava,Poprad,https://www.thetrainline.com/en/train-times/ostrava-to-poprad,NA
Bologna,Milan,https://www.thetrainline.com/en/train-times/bologna-to-milan,from €8.90
Salzburg,Bratislava,https://www.thetrainline.com/en/train-times/salzburg-to-bratislava,NA
Sofia,Burgas,https://www.thetrainline.com/en/train-times/sofia-to-burgas,NA
Lyon,Geneva,https://www.thetrainline.com/en/train-times/lyon-to-geneva,from €14.70
Lyon,Turin,https://www.thetrainline.com/en/train-times/lyon-to-turin,from €25
Lyon,Milan,https://www.thetrainline.com/en/train-times/lyon-to-milan,from €25
Hamburg,Rostock,https://www.thetrainline.com/en/train-times/hamburg-to-rostock,from €12.90
Berlin,Rostock,https://www.thetrainline.com/en/train-times/berlin-to-rostock,from €12.90
Munich,Berlin,https://www.thetrainline.com/en/train-times/munich-to-berlin,from €17.90
Split,Zagreb,https://www.thetrainline.com/en/train-times/split-to-zagreb,NA
Zagreb,Munich,https://www.thetrainline.com/en/train-times/zagreb-to-munich,from €29.20
Split,Vienna,https://www.thetrainline.com/en/train-times/split-to-vienna,NA
Vienna,Rostock,https://www.thetrainline.com/en/train-times/vienna-to-rostock,from €36.30
Amsterdam,Antwerp,https://www.thetrainline.com/en/train-times/amsterdam-to-antwerp,from €21
Hamburg,Copenhagen,https://www.thetrainline.com/en/train-times/hamburg-to-copenhagen,from €28.90
Madrid,Santiago de Compostela,https://www.thetrainline.com/en/train-times/madrid-to-santiago-de-compostela,from €17.20
Budapest,Munich,https://www.thetrainline.com/en/train-times/budapest-to-munich,from €28.90
Budapest,Zurich,https://www.thetrainline.com/en/train-times/budapest-to-zurich,from €9.90
Frankfurt,Paris,https://www.thetrainline.com/en/train-times/frankfurt-to-paris,NA
Paris,Nantes,https://www.thetrainline.com/en/train-times/paris-to-nantes,from €1
Bucharest,Budapest,https://www.thetrainline.com/en/train-times/bucharest-to-budapest,NA
Cork,Dublin,https://www.thetrainline.com/en/train-times/cork-to-dublin,NA
Burgas,Sofia,https://www.thetrainline.com/en/train-times/burgas-to-sofia,NA
Doncaster,Manchester,https://www.thetrainline.com/en/train-times/doncaster-to-manchester,from €10.77
Leeds,Manchester,https://www.thetrainline.com/en/train-times/leeds-to-manchester,from €4.28
Liverpool,Manchester,https://www.thetrainline.com/en/train-times/liverpool-to-manchester,from €3.55
London,Manchester,https://www.thetrainline.com/en/train-times/london-to-manchester,from €34.28
Edinburgh,Newcastle,https://www.thetrainline.com/en/train-times/edinburgh-to-newcastle,from €9.67
Leeds,Newcastle,https://www.thetrainline.com/en/train-times/leeds-to-newcastle,from €14.45
London,Newcastle,https://www.thetrainline.com/en/train-times/london-to-newcastle,from €26.81
Birmingham,Newcastle,https://www.thetrainline.com/en/train-times/birmingham-to-newcastle,from €64.27
Liverpool,Newcastle,https://www.thetrainline.com/en/train-times/liverpool-to-newcastle,from €25.95
London,Amsterdam,https://www.thetrainline.com/en/train-times/london-to-amsterdam,from €57
Amsterdam,Berlin,https://www.thetrainline.com/en/train-times/amsterdam-to-berlin,from €29.90
Berlin,Stockholm,https://www.thetrainline.com/en/train-times/berlin-to-stockholm,NA
Stockholm,Umea,https://www.thetrainline.com/en/train-times/stockholm-to-umea,NA
London,Rotterdam,https://www.thetrainline.com/en/train-times/london-to-rotterdam,from €57
Gothenburg,Umea,https://www.thetrainline.com/en/train-times/gothenburg-to-umea,NA
Brno,Vienna,https://www.thetrainline.com/en/train-times/brno-to-vienna,NA
Brno,Prague,https://www.thetrainline.com/en/train-times/brno-to-prague,NA
Brno,Budapest,https://www.thetrainline.com/en/train-times/brno-to-budapest,NA
Hamburg,Berlin,https://www.thetrainline.com/en/train-times/hamburg-to-berlin,from €7.99
Bucharest,Iasi,https://www.thetrainline.com/en/train-times/bucharest-to-iasi,NA
Liege,Maastricht,https://www.thetrainline.com/en/train-times/liege-to-maastricht,from €7.30
Brussels,Liege,https://www.thetrainline.com/en/train-times/brussels-to-liege,from €17.40
Verona,Bologna,https://www.thetrainline.com/en/train-times/verona-to-bologna,NA
Verona,Venice,https://www.thetrainline.com/en/train-times/verona-to-venice,NA
Metz,Luxembourg,https://www.thetrainline.com/en/train-times/metz-to-luxembourg,from €15
Frankfurt,Cologne,https://www.thetrainline.com/en/train-times/frankfurt-to-cologne,NA
Salzburg,Ljubljana,https://www.thetrainline.com/en/train-times/salzburg-to-ljubljana,NA
Mannheim,Augsburg,https://www.thetrainline.com/en/train-times/mannheim-to-augsburg,from €12.90
Augsburg,Ljubljana,https://www.thetrainline.com/en/train-times/augsburg-to-ljubljana,from €27.90
Stuttgart,Friedrichshafen,https://www.thetrainline.com/en/train-times/stuttgart-to-friedrichshafen,from €12.90
Vienna,Klagenfurt,https://www.thetrainline.com/en/train-times/vienna-to-klagenfurt,NA
London,Cardiff,https://www.thetrainline.com/en/train-times/london-to-cardiff,NA
Palermo,Catania,https://www.thetrainline.com/en/train-times/palermo-to-catania,from €14.90
Rome,Milan,https://www.thetrainline.com/en/train-times/rome-to-milan,from €10.90
Southampton,Bristol,https://www.thetrainline.com/en/train-times/southampton-to-bristol,NA
Bucharest,Constanta,https://www.thetrainline.com/en/train-times/bucharest-to-constanta,NA
Warsaw,Budapest,https://www.thetrainline.com/en/train-times/warsaw-to-budapest,from €51.80
Budapest,Bucharest,https://www.thetrainline.com/en/train-times/budapest-to-bucharest,NA
Amsterdam,Frankfurt,https://www.thetrainline.com/en/train-times/amsterdam-to-frankfurt,NA
Frankfurt,Vienna,https://www.thetrainline.com/en/train-times/frankfurt-to-vienna,NA
Vienna,Zagreb,https://www.thetrainline.com/en/train-times/vienna-to-zagreb,from €28.60
Zagreb,Split,https://www.thetrainline.com/en/train-times/zagreb-to-split,NA
Karlovy Vary,Prague,https://www.thetrainline.com/en/train-times/karlovy-vary-to-prague,from €34.80
Prague,Krakow,https://www.thetrainline.com/en/train-times/prague-to-krakow,NA
Katowice,Warsaw,https://www.thetrainline.com/en/train-times/katowice-to-warsaw,NA
Katowice,Vienna,https://www.thetrainline.com/en/train-times/katowice-to-vienna,from €9.90
Bologna,Ancona,https://www.thetrainline.com/en/train-times/bologna-to-ancona,from €9.90
Venice,Bologna,https://www.thetrainline.com/en/train-times/venice-to-bologna,from €7.90
Rome,Ancona,https://www.thetrainline.com/en/train-times/rome-to-ancona,from €1.95
Lugano,Zurich,https://www.thetrainline.com/en/train-times/lugano-to-zurich,from €17.12
